Resource,Resource URL,Email-General,Phone-General,Address,Email-Contact,Contact,Phone-Contact,Resource Description,Resource Type,Facebook URL,Twitter URL,Instagram,Audience,Population Focus,Location,Campuses,College eligibility,Availability,Deadline,Innovation Type,Funding Amount if applicable,Topic,Technology,Client Tags,"Notes, estimated time to complete",Attachments,Approved,Approved by,Last updated,Flagged,Flagged comment,Process,Organization
Technovation,https://technovationchallenge.org/,support@technovationchallenge.org,,,support@technovationchallenge.org,,,"We're entrepreneurs, mentors, and educators looking to teach girls between age of 10 to 18 around the world the skills they need to change the world with technology.  Volunteers mentor a team of girls in developing a mobile app to solve a local problem. Or volunteer to judge. 


Sponsors include major US companies and UN","Courses,Mentoring,Events",https://www.facebook.com/TechChal/,https://twitter.com/technovation,https://www.instagram.com/techchal/,,Women,Global,,,Rolling,,,,Education & Learning,,WITI,,,,,,,,,
Introduce a Girl to Engineering Day,http://www.discovere.org/our-programs/girl-day,Info@DiscoverE.org,,,Info@DiscoverE.org,,,"Introduce a Girl to Engineering Day (Girl Day) helps focus a growing movement to inspire girls’ futures so they learn they have a place in engineering a better world. 

Girl Day Role Model Volunteers show girls how engineers are making the world a better place and encourage them to explore this exciting and rewarding career",Mentoring,https://www.facebook.com/DiscoverE.org,https://twitter.com/@DiscoverEorg,https://www.instagram.com/DiscoverEorg/,,Women,Global,,,Rolling,,,,General,,WITI,,,,,,,,,
Girls Who Code Volunteer,https://girlswhocode.com/volunteer/,donations@girlswhocode.com,(646) 629 – 9735,"Girls Who Code 28 West 23rd Street, 4th Floor New York, NY 10010",donations@girlswhocode.com,,,"Girls Who Code Clubs are led by Facilitators, who are 18+ and can be teachers, computer scientists, librarians, parents, college students or volunteers from any background or field. Many Facilitators have NO technical experience and learn to code alongside their Club members. That’s why we use the term “Facilitator” instead of “teacher.” Our Club Facilitators guide Club girls through the curriculum, helping them to build sisterhood within the Club and learn to use computer science to impact their community.","Courses,Training & Support",https://www.facebook.com/sharer/sharer.php?u=http%3A%2F%2Fgirlswhocode.com%2F2015report%2F,,https://www.instagram.com/girlswhocode/,,,United States,,,Rolling,,,,Education & Learning,,WITI,,,,,,,,,
Black Girls Code Volunteers,http://www.blackgirlscode.com/volunteer-signup.html,,(510) 398-0880,"Black Girls CODE (Oakland Headquarters)           2323 Broadway           Oakland, CA 94612",,,,"Our Vision: To increase the number of women of color in the digital space by empowering girls of color ages 7 to 17 to become innovators in STEM fields, leaders in their communities, and builders of their own futures through exposure to computer science and technology. 

The volunteer roles can be: Tech Instructor(TI), Tech Assistant(TA), Classroom Assistant(CA), Non Tech Volunteer, Social Media Volunteer, General, Office/Admin Help, General IT/Technical Support
Volunteer availability:  Weekend workshop (4 hour shift, 8 hour shift)
One-week summer camp, Weekday workshop and Ongoing, weekday commitment.  Technical Instructors will be responsible for delivering content to students and managing their assigned classrooms.
Tech Assistants (TA) will help tech instructors, answer student questions, and help students to understand concepts. Classroom Assistants (CA) will help manage a specific class.",Education & Awareness,https://www.facebook.com/BlackGirlsCodeOrg,https://twitter.com/blackgirlscode,,,,United States,,,Rolling,,,,General,,WITI,,,,,,,,,
Techbridge girls Volunteers,https://techbridgegirls.org/index.php?id=438,info@techbridgegirls.org,510.777.9170,"114 Linden Street, Oakland, CA 94607",info@techbridgegirls.org,,,"Techbridge Girls is an award-winning leader and innovator in informal STEM education. We champion equity in STEM and fair access to economic opportunity for all girls, no exceptions.
Volunteers can be: Role Models Matter, Career Exploration Visit Host, Showcase Sponsor or Advisory Council Member","Education & Awareness,Mentoring",https://www.facebook.com/techbridgegirls,https://twitter.com/techbridgegirls,https://www.instagram.com/techbridgegirls/,,Women,United States,,,,,,,General,,WITI,,,,,,,,,
Golden Seeds Venture Capital Training Courses,https://goldenseeds.com/knowledge-institute/course-schedule-registration/,info@goldenseeds.com.,(888) 629-6774,"830 Third Avenue (between 50th and 51st Street) 2nd floor New York, NY 10022",info@goldenseeds.com.,,,"Golden Seeds: A discerning group of investors, seeking and funding high-potential, women-led businesses. And creating lasting impact.

The training classes include: Angel Investing 101: An Introduction to Angel Investing, Angel Investing 201: Cap Tables and Term Sheets, Angel Investing 301:  Leading a Deal, Angel Investing 401:  Boards and Exits ",Courses,https://www.facebook.com/goldenseeds/,https://twitter.com/GoldenSeeds,,,Women,United States,,,Rolling,,Startup Seed-Angel,,General,,WITI,,,,,,,,,
Forté Foundation WOMEN ON BOARDS INITIATIVE,http://www.fortefoundation.org/site/PageServer?pagename=advancement_boards,info@fortefoundation.org,512-535-5157,"9600 Escarpment, Suite 745 PMB 72  Austin, TX 78749",info@fortefoundation.org,,,"It is a surprising statistic, but currently only 17% of Fortune 500 board members are women. Inspired to address this inequity and its impact on the business landscape, Forté partnered with its sponsoring business schools and companies to advance women into corporate board positions.

Forté is the only organization in the US that connects the leading business schools and top companies around the topic of women in business. Tapping this network of highly successful women who have corporate board potential will increase access and provide transparency into the selection process.

Forté is creating the most comprehensive list of board-ready women with the goal of bringing attention to the lack of women on corporate boards.

Forté partners with leading business schools across the globe to identify women who are interested in advancing their careers and ultimately becoming Board eligible. To continue this effort, Forté member schools collectively are making a difference in the number of women on boards by supporting the board ready initiative. 

Forté has joined forces with the European Commission, the Financial Times and a host of other leading organizations and institutions to play a prominent role in identifying and promoting qualified senior female leadership. Forté Foundation is the US partner of the initiative and a member of the Task Force.

How to Apply: if you find that your background matches the Forté  Board Readiness criteria, you may be formally considered for the Global Board-Ready Women List. Simply email your LinkedIn profile and the email address where you wish to be contacted. The nominating committee will review your submission and contact you with next steps.","Mentoring,Networks",https://www.facebook.com/fortefoundation/,https://twitter.com/fortefoundation,https://www.instagram.com/fortefoundation/,,Women,Global,,,Rolling,,,,General,,WITI,,,,,,,,,
Web Women’s Entrepreneurship in Berkeley,http://www.wberkeley.com/,,,,,,,"Women Entrepreneurs of Berkeley (WEB) is a program of the Berkeley Chamber that works to connect innovative women with the resources and networks they need to accelerate their businesses. In cooperation with UC Berkeley and community partnerships, WEB provides support to women at different stages of their careers and engages women in and around Berkeley.","Networks,Training & Support,Mentoring",,,,,Women,UC Berkeley,Berkeley,,Rolling,,,,General,,WITI,,,,,,,,,
Berkeley Startup Cluster resources,http://berkeleystartupcluster.com/#resources-panel,ERCleveland@cityofberkeley.info,,,ERCleveland@cityofberkeley.info,,,"Provide a list of startup resources in the City of Berkeley, UC Berkeley and the Lawrence Berkeley National Laboratory. Resources categories include Accelerators, Marketing & Branding, Educational Programs, Competitions, Industry Groups, Technology Transfer, Legal, Financing, Student Organizations, Prototyping/Manufacturing, Coworking Spaces, Human Resources",Fellowships & Scholarships,,,,,,UC Berkeley,,,Rolling,,,,General,,,,,,,,,,,
Coworking space in Berkeley,http://berkeleystartupcluster.com/find-coworking-space-in-berkeley/,,,,,,,"Provide a list of co-working spaces in Berkeley.
Current list includes WeWork, Berkeley, NextSpace, Berkeley, Regus Downtown Berkeley, Sandbox Suites, CoWorking with Wisdom at Dharma College, Bonneville Labs, Mothership Hackermoms, Hīven, Berkeley",Networks,,,,,,UC Berkeley,,,,,,,General,,,,,,,,,,,
CODE: Debugging the Gender Gap,https://www.fastcompany.com/3045212/debugging-the-gender-gap-this-movie-with-a-mission-se,,,,,,,This Movie With A Mission Seeks To Inspire Women In Tech Documentary director Robin Hauser Reynolds on the importance of encouraging a generation to start coding,Education & Awareness,,,,,,Global,,,,,,,General,,WITI,,,,,,,,,
The State of Women in Tech 2019,https://www.dreamhost.com/blog/state-of-women-in-tech/,,,,,,,"A blog to discuss the current status of  Women in the Technology Industry. Issues discussed: Women in the Workplace, Education for Women, Gender Makeup in Tech, Perceptions of Women in the Workplace, Women of Color in Tech, Queer Women in Tech, Revealing the Wage Gap

About the Author: Kasee Bailey
Kasee Bailey has been crafting copy for DreamHost since the ye’ ol’ yesteryear of 2017. She’s on a valiant quest to discover what makes a great website — and then share those secrets with DreamHost users. Her specialty: relating tech to pop culture (the Kardashians and payments gateways, anyone?).",Education & Awareness,,,,,,Global,,,,,,,General,,WITI,,,,,,,,,
